﻿世茂东壹号(别墅),﻿玉山-城东-前进东路233号,﻿121.053740,﻿31.380466,﻿23118,﻿别墅,"﻿多层1.8元/平方米/月,高层2.1",﻿750000m²,﻿6300户,﻿2009年,﻿6300,﻿1.5,﻿40%(高),﻿昆山世茂新发展置业有限公司,﻿上海世茂物业服务有限公司,0,0
﻿嘉宝梦之城(别墅),﻿花桥-花桥新城-金捷路86号,﻿121.061360,﻿31.294728,﻿24809,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,4,6
﻿中城花园玉兰苑,﻿花桥-赛格电子城-曹浦路,﻿121.136620,﻿31.291724,﻿16734,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿1.5,﻿40%(高),﻿昆山融信恺庭房地产开发有限公司,﻿嘉正物业,1,10
﻿张浦裕花园(公寓),﻿张浦-张浦-锦上路,﻿120.925537,﻿31.283862,﻿13251,﻿暂无数据,﻿1.90元/㎡/月,﻿400000m²,﻿暂无数据,﻿2015年,﻿车位数量1612,﻿2,﻿41%(高),﻿昆山张浦建滔置业有限公司,﻿昆山国瑞置业有限公司,73,1115
﻿星海一城里,﻿玉山-城东-新华西路与204国道交汇处,﻿121.095356,﻿31.441657,﻿7600,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿衫欣小区,﻿玉山-老城区-同丰路与杉欣路交叉,﻿120.983016,﻿31.387354,﻿13000,﻿普通住宅,﻿0.8元/平米/月,﻿250000m²,﻿700户,﻿2004年,﻿700,﻿1.22,﻿40%(高),﻿杉欣房产,﻿暂无数据,0,0
﻿中大简介,﻿玉山-城东-昆山市同丰路与樾河路路口,﻿121.001700,﻿31.381157,﻿19172,﻿暂无数据,﻿1.80元/平米·月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿长江南路厂房,﻿玉山-城南-长江南路金蝶路88号,﻿120.971870,﻿31.331280,﻿18259,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿浣花新村,﻿玉山-城东-蓬莱路,﻿121.081758,﻿31.377257,﻿8607,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.3,﻿30%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿茶风街112号小区,﻿张浦-张浦-茶风街112号,﻿120.949315,﻿31.286813,﻿8254,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿浦西街20号小区,﻿张浦-张浦-浦西街20号,﻿120.945367,﻿31.285188,﻿7790,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿心泊紫竹苑,﻿张浦-张浦-新医路,﻿120.980737,﻿31.385598,﻿11637,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,13,43
﻿心泊桃花苑,﻿张浦-张浦-翰林路,﻿120.931882,﻿31.274144,﻿11594,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,6,14
﻿枫情佳苑(B区),﻿张浦-张浦-商秧路,﻿120.944754,﻿31.272208,﻿10074,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿1.9,﻿34%(一般),﻿江苏长顺地产公司,﻿昆山市天合物业管理有限公司,0,0
﻿茶风街9号小区,﻿张浦-张浦-茶风街9号,﻿120.945615,﻿31.286549,﻿10103,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿宝岛别墅(公寓),﻿玉山-城北-水秀路,﻿120.943335,﻿31.416565,﻿15800,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,1
﻿浦西街18号小区,﻿张浦-张浦-浦西街18号,﻿120.945224,﻿31.285116,﻿8000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿浦东街40号小区,﻿张浦-张浦-浦东街40号,﻿120.944916,﻿31.286789,﻿8000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿哥伦国际,﻿花桥-易买得-光明路398号,﻿121.110317,﻿31.298744,﻿11118,﻿暂无数据,﻿4.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿3,﻿35%(一般),﻿江苏哥伦投资有限公司,﻿江苏哥伦物业,3,36
﻿同城浦江中心,﻿花桥-易买得-纬一路38号,﻿121.119990,﻿31.291374,﻿16038,﻿暂无数据,﻿3.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.8,﻿30%(一般),﻿宁沪置业（昆山）有限公司,﻿宁沪置业（昆山）有限公司,0,6
﻿阿里巴巴电子商务大厦,﻿花桥-赛格电子城-昆山市花桥镇曹安公路与曹新路交汇处,﻿121.147887,﻿31.289724,﻿8620,﻿公寓,﻿4元,﻿187209m²,﻿576户,﻿2012年,﻿940,﻿3.5,﻿30%(一般),﻿江苏美通投资有限公司,﻿上海上房物业,0,0
﻿恒源广场,﻿张浦-张浦-茶风街,﻿120.951719,﻿31.286702,﻿10310,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿1.4,﻿40%(高),﻿昆山恒源房地产开发有限公司,﻿上海建科物业管理有限公司,6,36
﻿绿地启航社(河西),﻿花桥-易买得-绿地大道259号,﻿121.126953,﻿31.282551,﻿17759,﻿暂无数据,﻿1.30元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿1.6,﻿35%(一般),﻿上海绿地集团（昆山）置业有限公司,﻿上海绿地物业服务有限公司,78,123
﻿中茵国际商务花园,﻿花桥-易买得-徐公桥路2号,﻿121.124085,﻿31.288293,﻿8271,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿汇金大厦IHOME,﻿花桥-易买得-徐公桥路,﻿121.125795,﻿31.285371,﻿10833,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,12,0
﻿现代农艺小区,﻿张浦-张浦-海虹路,﻿120.939421,﻿31.278173,﻿8000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿赢座,﻿张浦-张浦-商秧路,﻿120.944754,﻿31.272208,﻿6500,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿1.28,﻿32%(一般),﻿昆山市兴华房产发展有限公司,﻿赢座,0,0
﻿新吴公寓,﻿张浦-张浦-新吴街28号,﻿120.947140,﻿31.284882,﻿9911,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿北京新城兴业房地产开发有限公司,﻿暂无数据,0,2
﻿心泊家园,﻿张浦-张浦-京东路,﻿120.935414,﻿31.289307,﻿10425,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿暂无数据,﻿36%(一般),﻿昆山瑞成房地产开发有限公司,﻿暂无数据,0,0
﻿假日半岛,﻿周庄-周庄-全功路,﻿120.847066,﻿31.116113,﻿15312,﻿暂无数据,﻿1.70元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2012年,﻿暂无数据,﻿0.8,﻿40%(高),﻿昆山假日置业有限公司,﻿昆山市万润物业管理有限公司,0,50
﻿球场里,﻿周庄-周庄-全福路,﻿120.847931,﻿31.113688,﻿7177,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,4
﻿宝领家园,﻿玉山-城南-宝领路51号,﻿120.961104,﻿31.360986,﻿15294,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2006年,﻿地面停车位、地下停车库,﻿2,﻿36%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿升扬公寓,﻿玉山-城西-鹿城路358号,﻿120.928612,﻿31.391388,﻿10387,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿鹿澄天地,﻿巴城-阳澄湖-民权路,﻿120.851948,﻿31.453871,﻿27760,﻿暂无数据,﻿2.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2004年,﻿暂无数据,﻿0.3,﻿70%(高),﻿江苏爱涛物业,﻿江苏爱涛物业管理服务有限公司,0,0
﻿林湖别墅,﻿巴城-阳澄湖-民权路18号,﻿120.851948,﻿31.453871,﻿30935,﻿暂无数据,﻿3.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿0.2,﻿75%(高),﻿昆山良元房地产开发有限公司,﻿江苏艾涛物业管理有限公司,0,0
﻿观湖壹号,﻿玉山-城西-萧林西路,﻿120.922935,﻿31.405896,﻿29856,﻿暂无数据,﻿2.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿2.5,﻿40%(高),﻿昆山鹿同置业有限公司,﻿江苏天合物业,87,810
﻿昆山华美达湖滨别墅,﻿巴城-阳澄湖-湖滨南路,﻿120.851948,﻿31.453871,﻿19612,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿克拉水城,﻿巴城-阳澄湖-民权路,﻿120.851948,﻿31.453871,﻿33846,﻿暂无数据,﻿2.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿0.29,﻿71%(高),﻿昆山海之舟房地产开发有限公司,﻿南京爱涛物业管理服务有限公司,0,0
﻿康桥小区,﻿巴城-阳澄湖-湖滨北路,﻿120.848777,﻿31.462100,﻿6842,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.6,﻿38%(一般),﻿苏州新创建设发展有限公司,﻿暂无数据,0,0
﻿锦绣蓝湾,﻿巴城-阳澄湖-马鞍山西路3555号,﻿112.529716,﻿37.971531,﻿20634,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿1.8,﻿46%(高),﻿昆山锦绣蓝湾置业有限公司,﻿中远物业,0,0
﻿金色假日,﻿巴城-阳澄湖-湖滨中路,﻿120.849359,﻿31.458321,﻿7254,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2005年,﻿暂无数据,﻿2.5,﻿35%(一般),﻿昆山市城市建设综合开发总公司,﻿昆山恒通物业管理有限公司,0,0
﻿檀香园,﻿巴城-阳澄湖-环湖路,﻿120.841365,﻿31.469498,﻿27765,﻿暂无数据,﻿2.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿0.38,﻿70%(高),﻿苏州长德置业有限公司,﻿深圳市福田物业发展有限公司,0,0
﻿泰泓花园,﻿巴城-阳澄湖-马鞍山路,﻿120.851948,﻿31.453871,﻿30898,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2012年,﻿暂无数据,﻿0.35,﻿50%(高),﻿苏州泰泓房产,﻿苏州百诚物业管理有限公司,0,0
﻿金湖银滩(别墅),﻿巴城-阳澄湖-锦绣东路1号,﻿120.851948,﻿31.453871,﻿17115,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,97
﻿南城雅苑,﻿玉山-城东-文化路和子冈路交汇处,﻿120.980737,﻿31.385598,﻿6941,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿人民南路65号小区,﻿玉山-老城区-人民南路65号,﻿120.958351,﻿31.369993,﻿23786,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山城建发展有限责任公司,﻿小区自治,1,4
﻿杨巷新村,﻿张浦-江南春堤-永记路,﻿120.958128,﻿31.313011,﻿11708,﻿暂无数据,﻿0.00元/㎡/月,﻿85416m²,﻿6000户,﻿暂无数据,﻿地上停车位279个,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿业主自营,8,127
﻿锦溪镇风景区沿河独栋,﻿锦溪-锦溪-下塘街68号,﻿120.589659,﻿30.971238,﻿10467,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿夏驾园荣苑,﻿玉山-城东-泯江路，近澄湖路,﻿121.047726,﻿31.400080,﻿13773,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿1.2,﻿40%(高),﻿江苏新城房产股份公司,﻿百强物业有限公司,5,106
﻿焕新小区,﻿玉山-城北-昆北路与迎宾路交界处,﻿120.973499,﻿31.456387,﻿9090,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿淀辉新村,﻿淀山湖-淀山湖-淀辉路，近中市路,﻿121.026299,﻿31.177302,﻿11363,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿福侬庄园(南区),"﻿淀山湖-淀山湖-新华路,近东苑路",﻿121.044966,﻿31.177055,﻿15341,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,9,20
﻿东湖绿苑,﻿淀山湖-淀山湖-中市路195号,﻿121.026957,﻿31.176213,﻿13741,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山东湖房屋开发有限责任公司,﻿暂无数据,4,0
﻿东湖绿苑(别墅),﻿淀山湖-淀山湖-中市路195号,﻿121.026957,﻿31.176213,﻿14612,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿晟泰农民新村,﻿淀山湖-淀山湖-淀兴路888号,﻿121.019340,﻿31.183784,﻿12945,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿盛泰房地产有限责任公司,﻿南通盛泰物业公司,0,3
﻿乐苑淀山湖花园,﻿淀山湖-淀山湖-永利路,﻿121.012238,﻿31.168716,﻿14122,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2010年,﻿暂无数据,﻿1.2,﻿暂无数据,﻿淀山湖政府,﻿和之然物业公司,24,80
﻿福兴庄园(别墅),﻿淀山湖-淀山湖-曙光路,﻿121.036553,﻿31.176568,﻿17831,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,1,12
﻿城际景苑,﻿巴城-正仪-君子亭东路,﻿120.858991,﻿31.372101,﻿14857,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2015年,﻿暂无数据,﻿1.54,﻿40%(高),﻿昆山阳澄湖房产有限责任公司,﻿资安顺物业管理有限公司,2,86
﻿曙光路66号小区,﻿淀山湖-淀山湖-曙光路66号,﻿121.036553,﻿31.176568,﻿11101,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿江苏山河置业有限公司,﻿江苏山河置业有限公司,0,0
﻿淀湖鹿鸣九里(商住楼),﻿淀山湖-淀山湖-万园路66号,﻿120.995760,﻿31.156835,﻿13806,﻿暂无数据,﻿1.90元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.18,﻿35%(一般),﻿昆山鹿鸣置业有限公司,﻿广东中奥物业管理有限公司,1,12
﻿淀山湖上海岛庄园,﻿锦溪-锦溪-锦商公路,﻿120.926877,﻿31.173365,﻿23076,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿0.39,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,2
﻿美吉特工业博览城住宅,﻿陆家-陆家-昆山市陆家镇进阳东路,﻿120.980737,﻿31.385598,﻿10526,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿邑品庄园,﻿巴城-巴城-巴城镇城北西路3088号,﻿120.864010,﻿31.433195,﻿20467,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿嘉兴苑,﻿玉山-城北-北门路1209号,﻿120.951104,﻿31.418933,﻿16536,﻿暂无数据,﻿0.80元/㎡/月,﻿32541m²,﻿320户,﻿2006年,﻿地上停车位,﻿2.3,﻿20%(一般),﻿嘉兴房产,﻿小区自治,8,67
﻿明诚大厦,﻿周市-周市-黄浦江北路209号,﻿121.010775,﻿31.413109,﻿17112,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿鑫河湾,"﻿锦溪-锦溪-锦发南路,近长寿东路",﻿120.918124,﻿31.174618,﻿12870,﻿暂无数据,﻿1.80元/㎡/月,﻿160000m²,﻿1445户,﻿2015年,﻿1200,﻿1.5,﻿35%(一般),﻿昆山鑫和源置业有限公司,﻿苏州桂花园林物业,23,195
﻿昆山仕泰隆国际,﻿陆家-陆家-昆山市陆家镇312国道旁（与花桥交汇处）,﻿120.887522,﻿31.340331,﻿9180,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿天竺小区,﻿锦溪-锦溪-文昌路4号,﻿120.901950,﻿31.172695,﻿10380,﻿暂无数据,﻿1.50元/㎡/月,﻿64350m²,﻿742户,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山城建发展有限责任公司,﻿小区自治,2,19
﻿神州通城西印象,"﻿巴城-巴城-祖冲之中路,近景新路",﻿120.884848,﻿31.452469,﻿14161,﻿暂无数据,﻿1.80元/㎡/月,﻿380000m²,﻿2691户,﻿暂无数据,﻿2451,﻿2.3,﻿40%(高),﻿昆山创和置业有限公司,﻿金侨物业,9,146
﻿虹桥佳苑,﻿玉山-城西-万步路505号,﻿120.922928,﻿31.389951,﻿24774,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2.18,﻿40%(高),﻿暂无数据,﻿昆山市临丰房产开发有限公司,8,40
﻿盛大花苑,﻿玉山-城东-致和塘西路与长春南路交汇处,﻿126.040592,﻿44.373520,﻿7894,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数
